,Accession number,UniProt Annotation Status,Description,Cluster numbers
0,A0A0P5R854,TrEMBL,Putative Histone acetyltransferase KAT2A ,1
1,A0A0K0FUU5,TrEMBL,Histone acetyltransferase KAT2B (inferred by orthology to a human protein) ,1
2,S7RRQ8,TrEMBL,Histone acetyltransferase GCN5 ,1
3,A0A1R4AAY0,TrEMBL,Histone acetyltransferase ,1
4,K6UCN5,TrEMBL,Histone acetyltransferase Gcn5 ,1
5,A0A139A9N1,TrEMBL,Acyl-CoA N-acyltransferase ,1
6,K7EPC4,TrEMBL,Histone acetyltransferase KAT2A ,1
7,A0A139HTL7,TrEMBL,Uncharacterized protein ,1
8,A0A1R2AMQ9,TrEMBL,Uncharacterized protein ,1
9,A0A1R1XTE6,TrEMBL,Histone acetyltransferase GCN5 ,1
10,K8E8Y3,TrEMBL,Histone acetyltransferase GCN5 ,1
11,A0A0J9X9T4,TrEMBL,Similar to Saccharomyces cerevisiae YGR252W GCN5 Acetyltransferase,1
12,L0AYJ3,TrEMBL,Uncharacterized protein ,1
13,L1JYZ4,TrEMBL,Uncharacterized protein ,1
14,A0A0J9TG26,TrEMBL,Histone acetyltransferase Gcn5 ,1
15,W5N4C5,TrEMBL,Histone acetyltransferase ,1
16,A0A146INW0,TrEMBL,Histone GCN5 superfamily ,1
17,A0A0J8RZ80,TrEMBL,Histone acetyltransferase GCN5 ,1
18,A0A061B1S1,TrEMBL,RHTO0S06e03048g1_1 ,1
19,A0A146K995,TrEMBL,Histone acetyltransferase GCN5 ,1
20,A0A146KV88,TrEMBL,Histone acetyltransferase KAT2A ,1
21,A0DAS0,TrEMBL,Uncharacterized protein ,1
22,A0A1Q3EAK7,TrEMBL,Histone gcn5 superfamily ,1
23,A2DQE6,TrEMBL,Acetyltransferase,1
24,L2GR71,TrEMBL,Uncharacterized protein ,1
25,A2DTQ0,TrEMBL,Acetyltransferase,1
26,L2GXS0,TrEMBL,Uncharacterized protein ,1
27,L5L144,TrEMBL,Histone acetyltransferase ,1
28,A0A1Q2YLQ9,TrEMBL,Histone acetyltransferase ,1
29,A2EGN2,TrEMBL,Acetyltransferase,1
30,A0A284QM43,TrEMBL,Related to putative histone acetylase ,1
